CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SatisfactionScore,Churn
CUST0023,Female,0,No,No,61,Yes,No,No service,No service,No service,No service,No service,No service,Month-to-month,No,Electronic check,18.25,1115.31,1,No
CUST0024,Female,0,No,No,35,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Credit card,95.83,3339.81,3,No
CUST0025,Female,0,No,No,51,Yes,DSL,No,No,No,No,No,No,Two year,No,Mailed check,42.7,2100.57,5,No
CUST0026,Female,0,No,No,18,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card,71.93,1316.23,5,No
CUST0027,Female,0,No,No,43,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Electronic check,96.89,4132.59,1,No
CUST0028,Female,0,No,No,6,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,79.18,486.86,3,Yes
CUST0029,Female,0,No,No,43,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,No,Bank transfer,82.4,3543.82,2,No
CUST0030,Female,0,Yes,No,67,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card,70.84,4788.63,1,Yes
CUST0031,Male,0,Yes,No,33,Yes,No,No service,No service,No service,No service,No service,No service,One year,Yes,Electronic check,18.25,622.19,2,No
CUST0032,Male,0,Yes,No,65,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card,95.0,6164.91,4,No
CUST0033,Female,0,Yes,Yes,68,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card,70.98,4812.6,3,No
CUST0034,Female,0,Yes,No,54,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,55.64,3034.61,5,No
CUST0035,Female,0,Yes,No,9,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,77.82,670.86,1,Yes
CUST0036,Male,1,Yes,Yes,41,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,55.02,2259.64,5,No
CUST0037,Female,0,No,No,40,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,56.58,2260.58,2,No
CUST0038,Male,0,Yes,No,68,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,92.14,6258.66,2,Yes
CUST0039,Male,0,No,Yes,9,Yes,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,51.07,466.7,4,No
CUST0040,Male,1,Yes,No,9,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Electronic check,85.4,772.39,2,No
CUST0041,Male,0,No,Yes,59,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card,52.8,3124.35,2,No
CUST0042,Male,0,Yes,Yes,50,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer,72.38,3621.78,5,No
CUST0043,Female,0,Yes,No,20,Yes,DSL,No,Yes,Yes,No,No,No,Two year,No,Bank transfer,55.39,1116.15,5,No
CUST0044,Female,0,No,No,7,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,63.71,447.84,1,Yes
CUST0045,Female,0,Yes,Yes,64,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card,58.12,3706.49,1,No
CUST0046,Female,1,Yes,No,29,Yes,No,No service,No service,No service,No service,No service,No service,Month-to-month,Yes,Credit card,18.25,529.33,2,No
CUST0047,Female,1,Yes,No,48,Yes,No,No service,No service,No service,No service,No service,No service,Two year,Yes,Mailed check,26.78,1271.15,3,No
CUST0048,Male,0,Yes,Yes,8,Yes,DSL,No,No,No,Yes,Yes,No,One year,No,Credit card,53.22,410.15,1,Yes
CUST0049,Female,0,Yes,Yes,16,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Credit card,79.76,1269.44,2,No
CUST0050,Female,1,Yes,No,68,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,73.26,4979.29,5,No
CUST0051,Male,0,No,Yes,57,Yes,No,No service,No service,No service,No service,No service,No service,One year,No,Bank transfer,27.87,1589.29,4,No
CUST0052,Female,0,No,No,56,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,75.1,4223.93,5,No
CUST0053,Male,0,No,No,61,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,81.69,4973.12,5,No
CUST0054,Female,0,Yes,No,51,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,78.37,4000.81,4,No
CUST0055,Male,0,No,Yes,60,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,76.18,4573.16,5,No
CUST0056,Female,0,Yes,No,39,Yes,No,No service,No service,No service,No service,No service,No service,Month-to-month,Yes,Electronic check,18.25,699.58,1,No
CUST0057,Female,1,Yes,No,37,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card,70.56,2612.19,5,No
CUST0058,Male,1,No,No,42,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,52.46,2223.37,4,No
CUST0059,Male,0,Yes,Yes,62,Yes,DSL,No,No,No,Yes,No,No,Two year,No,Credit card,47.9,2973.53,2,No
CUST0060,Male,0,Yes,Yes,18,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Bank transfer,86.79,1566.75,2,No
CUST0061,Male,1,No,No,49,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,60.11,2931.28,2,No
CUST0062,Male,0,No,No,32,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,88.96,2886.1,4,No
CUST0063,Male,0,No,Yes,12,Yes,No,No service,No service,No service,No service,No service,No service,Two year,No,Electronic check,26.33,302.99,4,No
CUST0064,Male,1,No,No,61,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card,48.65,2934.29,1,No
CUST0065,Male,1,No,Yes,42,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card,23.31,996.22,4,No
CUST0066,Female,0,Yes,No,48,Yes,No,No service,No service,No service,No service,No service,No service,Month-to-month,Yes,Electronic check,30.27,1450.66,2,Yes
CUST0067,Female,0,Yes,No,35,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card,51.79,1806.59,4,No
CUST0068,Male,0,Yes,No,9,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Bank transfer,60.94,537.55,3,No
CUST0069,Female,0,Yes,No,5,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,88.64,480.63,5,Yes
CUST0070,Female,0,Yes,No,56,Yes,No,No service,No service,No service,No service,No service,No service,Month-to-month,Yes,Bank transfer,23.26,1309.65,1,No
CUST0071,Female,0,No,No,0,Yes,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer,65.12,65.12,2,No
CUST0072,Female,0,No,No,70,Yes,No,No service,No service,No service,No service,No service,No service,One year,No,Electronic check,27.14,1903.05,2,No
CUST0073,Male,0,No,No,57,Yes,No,No service,No service,No service,No service,No service,No service,One year,Yes,Bank transfer,26.53,1517.61,3,No
CUST0074,Female,0,Yes,No,20,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,67.02,1368.37,1,No
CUST0075,Male,0,No,Yes,55,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,78.33,4303.13,5,No
CUST0076,Female,1,No,Yes,19,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,76.27,1419.99,1,Yes
CUST0077,Female,0,No,No,53,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card,68.99,3673.83,1,No
CUST0078,Female,0,Yes,No,24,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer,92.16,2221.77,2,Yes
CUST0079,Male,0,No,No,27,Yes,No,No service,No service,No service,No service,No service,No service,Month-to-month,No,Electronic check,26.7,723.06,4,Yes
CUST0080,Female,0,Yes,Yes,4,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Mailed check,70.79,292.58,5,No
CUST0081,Male,0,Yes,No,20,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,70.88,1410.19,1,No
CUST0082,Female,0,Yes,No,17,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer,92.28,1569.17,3,No
CUST0083,Male,0,No,No,46,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,70.71,3250.03,2,No
CUST0084,Female,0,No,No,69,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card,83.62,5757.95,4,No
CUST0085,Male,0,Yes,No,56,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card,57.91,3266.74,4,No
CUST0086,Male,0,Yes,No,18,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Bank transfer,98.47,1744.21,2,No
CUST0087,Female,1,Yes,No,64,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,67.83,4388.34,1,No
CUST0088,Male,0,Yes,Yes,2,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,79.11,175.77,2,No
CUST0089,Female,0,Yes,No,41,Yes,No,No service,No service,No service,No service,No service,No service,Month-to-month,No,Mailed check,18.25,712.69,4,No
CUST0090,Female,0,Yes,No,20,Yes,No,No service,No service,No service,No service,No service,No service,Two year,Yes,Bank transfer,18.25,360.52,4,No
CUST0091,Female,0,No,No,39,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,81.56,3177.47,3,Yes
CUST0092,Female,0,Yes,Yes,66,Yes,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Mailed check,54.42,3599.56,3,No
CUST0093,Female,0,Yes,No,24,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,79.42,1886.29,4,No
CUST0094,Female,1,Yes,No,54,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card,39.1,2112.04,3,No
CUST0095,Female,0,No,Yes,51,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,59.39,3026.47,3,No
CUST0096,Female,0,No,No,43,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Mailed check,83.9,3592.95,3,No
CUST0097,Female,0,No,No,55,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Bank transfer,42.79,2335.91,4,No
CUST0098,Female,1,Yes,No,54,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,63.85,3466.28,1,No
CUST0099,Female,0,No,No,69,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer,39.02,2658.45,1,Yes
CUST0100,Male,0,Yes,Yes,72,Yes,DSL,Yes,No,No,Yes,Yes,No,One year,No,Credit card,55.97,4039.4,5,No
CUST0101,Male,0,No,No,65,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,No,Bank transfer,70.49,4597.8,3,No
CUST0102,Female,0,No,Yes,18,Yes,No,No service,No service,No service,No service,No service,No service,Month-to-month,No,Electronic check,18.25,324.13,1,Yes
CUST0103,Female,0,No,No,6,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,44.15,265.95,5,No
CUST0104,Female,1,No,No,62,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,51.55,3219.37,2,Yes
CUST0105,Female,0,No,No,41,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Electronic check,57.03,2324.13,3,Yes
CUST0106,Female,0,Yes,Yes,41,Yes,No,No service,No service,No service,No service,No service,No service,Month-to-month,Yes,Credit card,37.83,1539.0,1,No
CUST0107,Female,0,No,No,58,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer,88.7,5134.69,1,No
CUST0108,Female,0,Yes,No,19,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,77.68,1499.23,1,Yes
CUST0109,Female,0,No,No,72,Yes,No,No service,No service,No service,No service,No service,No service,One year,Yes,Credit card,27.55,2009.45,5,No
CUST0110,Male,0,Yes,No,16,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Bank transfer,87.4,1370.48,2,No
CUST0111,Female,0,Yes,No,26,Yes,DSL,No,Yes,No,No,No,Yes,One year,No,Electronic check,56.87,1498.74,3,No
CUST0112,Male,0,Yes,No,46,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,48.71,2257.04,1,No
CUST0113,Female,0,Yes,No,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.19,137.26,4,No
CUST0114,Female,0,No,Yes,62,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card,59.2,3678.1,3,No
CUST0115,Male,0,No,Yes,61,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,86.47,5273.78,4,No
CUST0116,Female,0,Yes,No,18,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card,44.83,829.84,5,No
CUST0117,Male,0,Yes,No,16,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,61.19,993.02,1,Yes
CUST0118,Female,0,No,No,68,Yes,DSL,No,No,Yes,No,No,No,One year,No,Credit card,56.57,3891.66,3,No
CUST0119,Female,1,Yes,No,38,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,36.22,1395.53,3,No
CUST0120,Male,1,No,Yes,70,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Credit card,89.95,6299.57,1,No
CUST0121,Female,0,No,No,38,Yes,No,No service,No service,No service,No service,No service,No service,Month-to-month,Yes,Credit card,18.36,674.2,2,No
CUST0122,Male,0,No,Yes,35,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,97.92,3415.58,5,No
CUST0123,Female,0,No,Yes,39,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,75.35,2909.93,1,Yes
CUST0124,Male,0,Yes,No,44,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,47.79,2098.46,3,No
CUST0125,Male,0,No,Yes,3,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card,58.91,195.25,2,No
CUST0126,Female,0,Yes,No,24,Yes,DSL,No,Yes,No,No,Yes,No,Two year,No,Electronic check,53.42,1282.01,3,No
CUST0127,Female,0,Yes,Yes,68,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Mailed check,45.6,3121.23,4,No
CUST0128,Male,0,No,No,29,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card,59.35,1727.9,3,No
CUST0129,Female,0,Yes,No,67,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer,59.92,4006.58,5,No
CUST0130,Female,0,No,Yes,28,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,82.86,2321.83,1,No
CUST0131,Female,0,No,No,72,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Credit card,41.43,2992.4,3,No
CUST0132,Male,0,No,No,67,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,84.79,5683.71,4,No
CUST0133,Male,0,No,No,50,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer,75.2,3763.01,4,Yes
CUST0134,Male,0,Yes,Yes,23,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,98.13,2241.61,1,Yes
CUST0135,Male,0,Yes,No,13,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,109.04,1408.86,4,Yes
CUST0136,Male,0,No,No,68,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,52.35,3604.97,1,No
CUST0137,Male,0,Yes,No,17,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,71.13,1233.78,5,No
CUST0138,Male,0,No,No,41,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Mailed check,77.47,3146.79,1,No
CUST0139,Male,0,No,No,56,Yes,No,No service,No service,No service,No service,No service,No service,Two year,Yes,Mailed check,18.25,974.66,2,No
CUST0140,Male,0,No,No,11,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Electronic check,68.97,760.19,4,No
CUST0141,Female,0,Yes,No,16,Yes,DSL,No,No,No,No,No,No,Two year,No,Electronic check,49.17,804.59,4,No
CUST0142,Male,1,Yes,No,29,Yes,No,No service,No service,No service,No service,No service,No service,Two year,No,Bank transfer,20.04,570.76,3,No
CUST0143,Female,0,Yes,No,22,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,55.5,1241.43,2,Yes
CUST0144,Female,0,Yes,No,0,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,82.19,82.19,3,Yes
CUST0145,Female,0,No,No,31,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer,69.45,2149.69,1,No
CUST0146,Male,0,Yes,No,8,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card,44.39,370.24,5,No
CUST0147,Male,0,Yes,Yes,14,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer,87.84,1219.12,4,Yes
CUST0148,Male,1,Yes,No,27,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,99.99,2694.0,5,No
CUST0149,Male,0,No,No,23,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Credit card,59.02,1370.86,1,No
CUST0150,Female,0,No,No,59,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card,82.22,4850.35,1,No
CUST0151,Male,0,Yes,No,34,No,No,No service,No service,No service,No service,No service,No service,One year,No,Mailed check,23.07,822.56,2,No
CUST0152,Male,0,Yes,No,26,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Credit card,72.97,1911.1,3,Yes
CUST0153,Male,0,Yes,No,19,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,44.45,857.13,4,No
CUST0154,Male,0,Yes,Yes,64,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,73.74,4718.37,4,No
CUST0155,Male,0,No,No,48,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,80.81,3896.38,5,No
CUST0156,Female,1,No,No,0,Yes,No,No service,No service,No service,No service,No service,No service,Month-to-month,No,Bank transfer,22.69,22.69,2,No
CUST0157,Male,0,Yes,No,9,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Electronic check,74.25,673.9,1,Yes
CUST0158,Female,0,Yes,No,46,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,55.08,2515.35,2,No
CUST0159,Male,0,No,No,58,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.42,5729.15,4,No
CUST0160,Female,0,Yes,No,61,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,76.19,4653.4,3,No
CUST0161,Male,0,No,Yes,17,Yes,DSL,No,Yes,No,No,No,Yes,One year,No,Mailed check,49.38,879.11,5,No
CUST0162,Male,0,Yes,Yes,45,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Mailed check,80.14,3654.15,1,No
CUST0163,Female,0,No,Yes,31,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,66.03,2062.2,1,No
CUST0164,Female,0,Yes,No,26,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Credit card,82.35,2142.47,1,No
CUST0165,Female,0,No,No,17,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,64.74,1081.66,3,No
CUST0166,Male,0,No,No,38,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,78.98,3019.33,4,No
CUST0167,Female,0,Yes,No,48,No,No,No service,No service,No service,No service,No service,No service,Month-to-month,No,Electronic check,28.21,1358.29,4,No
CUST0168,Male,1,Yes,No,43,Yes,No,No service,No service,No service,No service,No service,No service,One year,Yes,Electronic check,38.54,1667.98,2,No
CUST0169,Male,0,Yes,No,71,Yes,No,No service,No service,No service,No service,No service,No service,Month-to-month,No,Electronic check,18.25,1330.35,2,No
CUST0170,Female,0,Yes,No,53,Yes,No,No service,No service,No service,No service,No service,No service,One year,Yes,Mailed check,18.25,950.76,4,No
CUST0171,Female,1,Yes,No,33,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,61.4,2007.71,1,Yes
CUST0172,Male,0,Yes,No,70,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.0,6435.27,3,Yes
CUST0173,Male,1,No,No,35,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,79.27,2790.87,4,No
CUST0174,Female,0,Yes,Yes,17,Yes,No,No service,No service,No service,No service,No service,No service,Month-to-month,No,Electronic check,18.25,321.35,3,No
CUST0175,Female,0,Yes,No,37,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,69.13,2539.9,5,No
CUST0176,Female,0,No,Yes,58,Yes,No,No service,No service,No service,No service,No service,No service,Month-to-month,No,Bank transfer,24.78,1452.37,1,No
CUST0177,Male,0,Yes,No,8,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,86.74,669.9,5,No
CUST0178,Male,0,No,No,72,Yes,No,No service,No service,No service,No service,No service,No service,One year,Yes,Mailed check,24.86,1773.17,4,No
CUST0179,Male,0,Yes,No,71,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card,69.32,4919.41,2,Yes
CUST0180,Male,0,No,Yes,50,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,66.92,3334.93,4,No
CUST0181,Male,0,No,No,34,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.78,2390.32,5,Yes
CUST0182,Male,0,No,Yes,4,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,61.63,252.25,3,No
CUST0183,Female,1,No,No,13,Yes,No,No service,No service,No service,No service,No service,No service,Two year,Yes,Bank transfer,18.25,272.56,4,No
CUST0184,Male,0,Yes,Yes,29,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Credit card,57.36,1658.5,2,No
CUST0185,Male,0,No,No,3,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Credit card,72.87,216.17,5,No
CUST0186,Male,0,Yes,No,38,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer,76.06,2914.49,4,Yes
CUST0187,Female,0,Yes,No,63,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,73.57,4633.09,5,No
CUST0188,Male,1,Yes,Yes,24,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,114.64,2781.24,5,No
CUST0189,Male,0,No,Yes,27,Yes,DSL,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,72.38,1965.08,1,No
CUST0190,Female,0,Yes,No,65,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,No,Credit card,57.17,3668.99,3,No
CUST0191,Male,0,No,No,21,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Bank transfer,65.73,1403.88,1,No
